
Day time minutes: 0
Total cost $25.00
2018/09/03 0659 6
2018/09/04 1755 16
2018/09/05 0659 6
2018/09/06 1755 16
2018/09/07 0659 6
2018/09/10 1755 16
2018/09/11 0659 6
2018/09/12 1755 16
2018/09/13 0659 16
2018/09/14 1755 16
2018/09/17 0659 16
2018/09/18 1755 16
2018/09/03 0659 6
2018/09/04 1755 16
2018/09/05 0659 6
2018/09/06 1755 16
2018/09/07 0659 6
2018/09/10 1755 16
2018/09/11 0659 6
2018/09/12 1755 16
2018/09/13 0659 16
2018/09/14 1755 16
2018/09/17 0659 16
2018/09/18 1755 16

Day time minutes: 80
Total cost $25.00
2018/10/01 0659 6
2018/10/02 1755 16
2018/10/03 0659 6
2018/10/04 1755 16
2018/10/05 0659 6
2018/10/06 1755 16
2018/10/07 0659 6
2018/10/08 1755 16
2018/10/09 1755 16
2018/10/10 1755 16
2018/10/11 0659 6
2018/10/12 1755 16
2018/10/13 0659 16
2018/10/14 1755 16
2018/10/15 1755 16
2018/10/16 0659 16
2018/10/17 0659 16
2018/10/18 1755 16
2018/10/19 0659 16
2018/10/20 1755 16
2018/10/21 0659 6
2018/10/22 1755 16
2018/10/23 0659 16
2018/10/24 1755 16
2018/10/25 1755 16
2018/10/26 0659 16
2018/10/27 0659 16
2018/10/28 1755 16
2018/10/29 0659 16
2018/10/30 1755 16
2018/10/01 0659 6
2018/10/02 1755 16
2018/10/03 0659 6
2018/10/04 1755 16
2018/10/05 0659 6
2018/10/06 1755 16
2018/10/07 0659 6
2018/10/08 1755 16
2018/10/09 1755 16
2018/10/10 1755 16
2018/10/11 0659 6
2018/10/12 1755 16
2018/10/13 0659 16
2018/10/14 1755 16
2018/10/15 1755 16
2018/10/16 0659 16
2018/10/17 0659 16
2018/10/18 1755 16
2018/10/19 0659 16
2018/10/20 1755 16
2018/10/21 0659 6
2018/10/22 1755 16
2018/10/23 0659 16
2018/10/24 1755 16
2018/10/25 1755 16
2018/10/26 0659 16
2018/10/27 0659 16
2018/10/28 1755 16
2018/10/29 0659 16
2018/10/30 1755 16

Day time minutes: 170
Total cost $35.00
